Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Growth(PA)
BELGRAVE HEIGHTS,430000,480000,590500,624000,687500,701500,685000,737500,902500,1055500,850000,NA,7.1
BELGRAVE SOUTH,548000,541000,555500,565000,689000,782500,665500,845000,1085000,919000,1125000,1090000,7.5
BELL PARK,314000,323500,340000,360000,400000,452500,482000,500000,620500,640000,610000,619500,6.9
BELL POST HILL,328000,333500,344500,355000,435000,487000,475000,507000,657500,675000,620000,687000,6.6
BELLFIELD (BANYULE),516000,582500,700000,778000,897000,882500,790000,775000,992500,965000,944000,807500,6.2
BENALLA,228000,235500,222500,231500,250000,284000,290000,302000,394000,430500,430000,445000,6.5
BENDIGO,340000,376500,372000,400000,400000,400000,420000,500000,600000,690000,540000,500000,4.7
BENTLEIGH,900000,1050000,1245000,1380000,1470000,1394000,1376000,1510000,1742500,1723000,1690000,1600000,6.5
BENTLEIGH EAST,750000,850000,1000500,1115000,1256000,1205000,1200000,1255000,1480000,1490000,1430000,1566000,6.7
BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,832500,6.6
BEVERIDGE,396000,351500,400000,430000,495000,540000,580000,531000,630000,650000,650000,650000,5.1
BIRCHIP,120000,90000,121500,55000,100000,100000,108500,121500,130000,170000,225000,120000,6.5
BIRREGURRA,255000,337500,302500,345000,382500,412500,463000,489500,692500,700000,850000,460000,12.8
BITTERN,402000,390000,382500,464000,526500,650000,577500,630000,750000,832500,850000,670000,7.8
BLACK HILL,283500,321500,300000,315000,370000,405000,492500,491000,550000,642500,626000,577000,8.2
BLACK ROCK,1237500,1400000,1545000,1745000,2017500,2029000,1793000,1920000,2600000,2565000,2287500,3000000,6.3
BLACKBURN,860500,936000,1200500,1241000,1410000,1370500,1305000,1405000,1639500,1549500,1600000,1624000,6.4
BLACKBURN NORTH,692000,790000,921500,1040000,1140500,1038000,1017500,1090000,1300000,1230000,1284500,1417000,6.4
BLACKBURN SOUTH,697500,780000,920500,1050000,1200000,1063500,1034000,1100500,1338500,1288000,1350000,1347000,6.8
BLAIRGOWRIE,609000,627500,621500,770000,883000,990500,921500,1143500,1562500,1725000,1657500,1450000,10.5
BLIND BIGHT,362500,343000,401000,440000,514000,546000,552500,570000,668500,705000,806000,762500,8.3
BONBEACH,580000,635000,700000,778000,882500,910000,855000,930000,1115000,1177500,1105000,936000,6.7
BONNIE BROOK,-,-,-,-,-,-,-,307000,492500,645000,671500,660000,NA
BONNIE DOON,250000,275000,290000,290000,315000,417500,410000,372500,565000,670000,630000,660000,9.7
BONSHAW,-,309000,309000,322500,235000,400000,379000,435000,525000,565000,560000,552500,NA
BOOLARRA,196500,260000,212500,202500,255000,250000,247500,255000,355000,362500,450000,535000,8.6
BOORT,157500,162500,130000,200500,215000,180000,185000,165000,240000,227500,270000,307000,5.5
BORONIA,459500,500500,592500,648500,735000,742500,680000,715000,845000,830000,855000,856000,6.4
BOTANIC RIDGE,492000,519000,565000,600000,690000,730000,700000,727000,847000,920000,872500,753000,5.9
BOX HILL,855000,1067000,1350000,1360500,1752500,1700500,1545000,1512500,1630500,1726000,1680000,1200000,7.0
BOX HILL NORTH,746000,857500,1060000,1146000,1321000,1188000,1200000,1191500,1321000,1320000,1333000,1262500,6.0
BOX HILL SOUTH,785000,910000,1153000,1255000,1409000,1285500,1177500,1252500,1560000,1440000,1500000,1869500,6.7
BRAYBROOK,424000,479500,550000,629000,665000,728500,646500,669500,739000,794500,712000,715000,5.3
BREAKWATER,255000,251500,267500,277500,335000,385000,405000,410000,534500,580000,575000,NA,8.5
BRIAGOLONG,226000,200000,215000,265000,257000,264000,315000,277500,400000,415000,436500,400000,6.8
BRIAR HILL,572500,633000,680000,721500,833000,880000,823500,863000,1015000,984500,1001000,1040000,5.7
BRIGHT,325000,339500,392500,429500,495000,590000,580000,700000,909500,1195000,1100000,919000,13.0
BRIGHTON,1802500,1940000,2307500,2740000,3050000,2888000,2675000,3148500,3515000,3457500,3200000,2825000,5.9
BRIGHTON EAST,1230000,1300500,1600000,1750000,1890000,1880000,1700000,1950000,2265000,2316500,2425000,2100000,7.0
BROADFORD,291000,267000,270000,287500,330000,396500,415000,454000,505000,570000,550000,430000,6.6
BROADMEADOWS,325000,345000,370000,416500,546000,575000,525500,551500,590000,600000,560000,530000,5.6
BROOKFIELD,330000,350500,340000,360000,425000,491500,445000,500000,539000,570000,560000,558500,5.4
BROOKLYN,491500,540000,602000,700500,834000,695000,672500,712500,850000,810000,740000,NA,4.2
BROWN HILL,310000,281500,270000,338000,350000,405000,449000,487500,600000,601000,740000,675000,9.1
BRUNSWICK,750000,812500,861000,947000,1200000,1100000,1037500,1100000,1350000,1330000,1300000,1435000,5.7
BRUNSWICK EAST,767000,820000,888000,998000,1150000,1170000,1011500,1286500,1440000,1350000,1400000,1530000,6.2
BRUNSWICK WEST,745000,790000,863000,1002500,1155000,1160000,1061000,1180000,1324000,1285500,1275000,1300000,5.5
BRUTHEN,198000,182500,205000,207000,229500,261000,229000,345000,285000,455000,470000,529000,9.0
BULLEEN,780000,861000,1095000,1170000,1300000,1230000,1105000,1177000,1355000,1386000,1398000,1305000,6.0
BUNDALONG,337500,336500,372500,425000,373000,462000,515000,725000,674500,2519000,968000,665000,11.1
BUNDOORA,530000,553500,600500,652000,753000,730000,735000,745000,865000,853000,858500,850000,4.9
BUNINYONG,348000,385000,364500,381000,470000,467500,475000,587500,666000,770000,680000,542500,6.9
BUNYIP,332500,325000,420000,357500,437500,550000,500500,541500,652500,750000,730000,705000,8.2
BURNLEY,836000,1100000,999000,1215000,1405000,1277500,1188500,1497500,1595000,1565000,1582500,1831000,6.6
BURNSIDE,390000,401000,415000,518500,572500,605000,605000,660000,720000,780000,752500,777500,6.8
BURNSIDE HEIGHTS,427000,442500,460000,522000,590000,633000,591000,652500,701000,749000,745000,758000,5.7
BURWOOD,780000,921000,1190000,1219000,1357000,1320000,1170000,1277500,1430000,1381000,1497500,1344500,6.7
BURWOOD EAST,685500,782000,982500,1021000,1126500,1005000,1106000,1168500,1250500,1259000,1280000,1180000,6.4
CAIRNLEA,480000,545000,540000,608500,710000,734000,752500,807500,850000,941500,936500,942500,6.9
CALIFORNIA GULLY,252500,262000,255000,255000,250000,275000,287000,318000,415000,463000,461000,449500,6.2
CAMBERWELL,1382000,1655000,1912500,2090000,2300000,2155000,2070000,2072500,2569000,2650000,2538000,2761500,6.3
CAMPBELLFIELD,330000,338000,374500,420000,507000,550000,533000,537500,602500,605000,605000,637000,6.2
CAMPBELLS CREEK,382000,345000,387500,426500,380000,460500,500000,522500,652500,710000,722500,NA,6.6
CAMPERDOWN,220000,186000,218000,217500,240000,235000,280000,292500,362500,415000,470000,420000,7.9
CANADIAN,322500,297000,345000,339000,334500,373000,375000,422500,490000,580000,535000,450000,5.2
CANTERBURY,1950000,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3389000,3460000,3252500,NA,5.2
