,2018,2019,2020,2021,2022,2023,2024
MAMBOURIN,-,-,329500,597500,641000,635000,573500
MANIFOLD HEIGHTS,785500,715000,825000,924500,1087500,1050000,750000
MANOR LAKES,526000,533000,570000,595500,645000,645000,617500
MANSFIELD,430000,452500,510000,640000,732500,786000,684000
MARIBYRNONG,1050000,961500,936500,1165000,1170000,1130000,1350000
MARLO,385000,355000,405000,435000,686000,655000,NA
MARONG,365000,420000,465000,560000,650000,622500,650000
MARSHALL,468000,486500,510000,600000,682000,610000,675000
MARYBOROUGH,229500,236000,269500,341500,393000,399500,350000
MARYSVILLE,477500,462500,475000,675000,755000,692500,680000
MCCRAE,847500,795000,952500,1200000,1285000,1312500,1600000
MCKENZIE HILL,495000,536500,544500,700000,755000,833000,NA
MCKINNON,1555000,1520500,1675000,2010000,1994000,2000000,NA
MEADOW HEIGHTS,510000,474000,499000,557500,580000,561000,565000
MELTON,415000,385000,390000,455000,500000,470500,455000
MELTON SOUTH,417000,390000,420000,460000,515000,495000,490000
MELTON WEST,453000,428000,470000,515000,551000,550000,492500
MENTONE,1080000,1031000,1050000,1367500,1475000,1337500,1254000
MENZIES CREEK,760000,682500,745000,1020000,960000,876500,NA
MERBEIN,180000,210000,201500,227500,320000,300000,357500
MERINDA PARK,523000,476000,527500,615000,657500,626000,594000
MERNDA,573500,552000,570000,670000,680000,670000,679000
MERRIGUM,190000,270000,179000,255000,266500,272500,NA
METUNG,371500,455000,480000,517500,747500,771000,930000
MICKLEHAM,520000,525000,565000,623000,680000,680000,684000
MIDDLE PARK,2685000,2775000,2680000,2864000,2750000,2473000,3375000
MILDURA,281500,310000,337000,380000,425000,436000,458000
MILL PARK,657000,654000,690000,754500,786000,780000,753000
MILLGROVE,411000,415000,425000,540000,600000,564000,545000
MINERS REST,400000,427500,440000,530000,599500,590000,600000
MINYIP,81000,114500,75000,151500,155000,164500,NA
MIRBOO NORTH,307500,327500,376000,475000,565000,560000,536500
MITCHAM,998000,942000,1066500,1212500,1200000,1210000,1055000
MITCHELL PARK,304500,313000,330000,400000,486500,462500,465000
MOE,200000,210000,250000,315000,370000,365000,339000
MONBULK,650000,630000,650000,790000,799000,770000,758000
MONT ALBERT,1990000,1690000,2170000,2372500,2320000,2384000,NA
MONT ALBERT NORTH,1460000,1380000,1437000,1580000,1643000,1715000,1550000
MONTMORENCY,926000,860000,913000,1162000,1110000,1120000,1400000
MONTROSE,737500,707500,730000,842500,913500,846000,985000
MOONEE PONDS,1360000,1300000,1290000,1545000,1582500,1527500,1440000
MOORABBIN,1130000,1065000,1075000,1400000,1391500,1300000,1275000
MOOROOLBARK,720000,670000,720000,836000,870000,821000,847500
MOOROOPNA,230000,247500,268500,335000,385000,377500,395000
MORDIALLOC,1046500,1017500,1089000,1375000,1296500,1385000,970000
MORNINGTON,850000,810000,894000,1100000,1160000,1069500,980000
MORTLAKE,165000,164000,220000,290500,327500,349000,NA
MORWELL,167000,179000,200000,275000,325000,334500,314000
MOUNT BEAUTY,267500,295000,330000,446000,572500,531500,552000
MOUNT CLEAR,379000,396500,414000,505000,515000,525000,495000
MOUNT COTTRELL,1800000,927500,927500,540000,622000,602000,685000
MOUNT DANDENONG,647500,690000,791000,850000,1045000,887500,1350000
MOUNT DUNEED,555000,557000,593000,696000,750000,720000,715000
MOUNT ELIZA,1220000,1180000,1313000,1700000,1730500,1700000,1261000
MOUNT EVELYN,671500,636000,710000,820000,877500,830000,780000
MOUNT HELEN,420000,417000,472500,610000,632500,580000,318000
MOUNT MACEDON,859000,775000,1043000,1623500,1330000,1446000,865000
MOUNT MARTHA,1202500,1262500,1420000,1845000,1880000,1820000,1619000
MOUNT PLEASANT,350000,377500,415000,498000,530000,497500,432500
MOUNT WAVERLEY,1320000,1270500,1300000,1511000,1509000,1600000,1600000
MULGRAVE,860000,840000,850000,1000000,996000,1040000,1020000
MURCHISON,225000,244500,291500,400000,450000,340000,NA
MURRUMBEENA,1343500,1241500,1405000,1695000,1670000,1641500,1885000
MURTOA,110000,119000,130000,145000,244500,267500,243500
MYRTLEFORD,295000,325000,385000,530000,609000,590000,590000
NAGAMBIE,385000,414000,460000,545000,655000,660000,545000
NARRE WARREN,614000,587000,610000,700000,740000,727000,727500
NARRE WARREN NORTH,1180000,1070000,1167500,1421500,1600000,1565000,1112500
NARRE WARREN SOUTH,636500,625000,660000,750000,802500,820000,775000
NATHALIA,210000,229000,256000,265000,350000,370000,380000
NEERIM SOUTH,406500,413000,473500,530000,600000,665000,585000
NERRINA,575000,617500,630000,580000,795000,685000,615000
NEW GISBORNE,757500,695000,720000,798500,875000,850000,NA
NEWBOROUGH,250000,255000,290000,359000,437500,427000,385500
NEWCOMB,453500,435000,476000,584000,605000,567500,615000
NEWINGTON,465000,490000,735000,720000,672500,664500,590000
NEWLANDS ARM,367500,443000,470000,550000,619500,675000,620000
NEWPORT,1059000,1055000,1090000,1286500,1280000,1275000,1135000
NEWSTEAD,318500,436000,470000,540000,625000,600000,NA
NEWTOWN (GREATER,843000,832000,945000,1175000,1200000,1165000,990000
NHILL,149000,137000,158500,180000,210000,205000,330000
NICHOLS POINT,470000,430000,475000,510000,661000,590000,NA
NIDDRIE,1070000,1070000,1000500,1246000,1305000,1189000,1080000
NOBLE PARK,680000,625500,675000,751000,753500,732000,760000
NOBLE PARK NORTH,660000,610000,655500,750000,795000,737500,765000
NORLANE,355000,350000,372000,450000,481500,455000,480000
NORTH BENDIGO,310000,325000,374000,460500,513000,515000,500000
NORTH GEELONG,495000,500000,550500,597500,675000,646500,639000
NORTH MELBOURNE,1185000,1375000,1151500,1311500,1310000,1220000,895000
NORTH WONTHAGGI,369000,389000,419000,557500,665000,625000,625000
NORTHCOTE,1345000,1305000,1411000,1653000,1650000,1605000,1665000
NOTTING HILL,957500,880000,930000,1141000,1058000,1106000,1050000
NUMURKAH,225000,250000,239000,310000,350000,360000,287500
NUNAWADING,986000,951000,1038500,1250000,1146000,1189500,1305000
NYAH WEST,136000,85000,129000,202500,215000,248000,NA
OAK PARK,878500,840000,911500,1150000,1140000,1065000,880000
OAKLEIGH,1250000,1101000,1255000,1389000,1422000,1336500,1417000
OAKLEIGH EAST,992500,954500,995000,1187500,1155000,1150000,NA
OAKLEIGH SOUTH,960000,906500,983500,1129000,1053500,1130000,1078000
OCEAN GROVE,691000,695000,790000,975500,1143500,982500,878000
OFFICER,548000,540000,570000,650000,700000,725500,680000
OFFICER SOUTH,569500,714000,770000,703000,850000,865000,815000
OLINDA,760000,746500,757500,1125000,905000,935000,780000
OMEO,183500,250000,238000,339000,385000,339000,NA
ORBOST,165000,185500,220000,240000,344000,340000,350000
ORMOND,1600000,1475000,1590000,1900000,1847500,1795000,1832500
OSBORNE,757000,777500,850500,1112000,1127500,1030000,830000
OUYEN,93000,99000,121000,155500,170000,184500,212500
PAKENHAM,520000,485000,525000,600000,652000,640000,650000
PARADISE BEACH,199000,200000,248000,321500,415000,372500,270000
PARK ORCHARDS,1480000,1510000,1530000,1920000,1965000,1740000,1885000
PARKDALE,1245000,1157500,1200500,1540500,1592500,1352000,1471000
PARKVILLE,2430000,1480000,1950000,2301500,1910000,2477000,NA
PASCOE VALE,901000,855000,947500,1050000,1110000,1025000,1040000
PASCOE VALE SOUTH,955000,950000,1006000,1299500,1157500,1140000,1050000
PATTERSON GARDENS,890000,961000,960000,1160000,1300000,1265000,NA
PATTERSON LAKES,1022500,923000,1082500,1300000,1470500,1361000,1578500
PAYNESVILLE,351500,346000,397000,465000,565000,515000,460000
PEARCEDALE,660000,660000,660000,790000,820000,850000,1025000
PENSHURST,165000,165000,175000,194000,310000,286500,265000
PETERBOROUGH,450000,419000,550000,625000,701000,690000,NA
PIONEER BAY,308000,310000,355000,354000,491500,554000,655000
PLENTY,1350000,1301000,1202500,1605000,1543000,1760000,NA
POINT COOK,630000,635000,664000,739000,780000,770500,789500
POINT LONSDALE,840000,827500,880000,1300000,1505000,1351500,1250000
POREPUNKAH,464500,530000,615000,757500,1035000,940000,700000
PORT ALBERT,240000,250000,315000,425000,485000,562500,600000
PORT FAIRY,651000,620000,670000,950000,1140000,950000,NA
PORT MELBOURNE,1488000,1400000,1600000,1802500,1646000,1745000,1400000
PORTARLINGTON,640000,625000,690000,829500,985000,925000,1080000
PORTLAND,234500,266000,295000,370000,450000,437500,390000
PORTLAND NORTH,367500,276000,507000,470000,667500,750000,730000
PORTSEA,2180000,1950000,2530000,3765000,3825000,3102500,2115000
PRAHRAN,1578000,1520000,1643500,1831000,1840000,1750000,1500000
PRESTON,980000,940000,1026000,1251000,1160000,1150000,1252500
PRINCES HILL,1650000,2035000,1600000,2015000,1892500,1620000,NA
PYRAMID HILL,100000,120000,117500,128000,230000,202500,275000
QUAMBATOOK,93500,90500,110000,150000,157000,125000,40000
QUARRY HILL,407500,395000,430000,540500,613500,596000,515000
QUEENSCLIFF,950000,950000,969000,1372000,1725000,1687500,1275000
RAINBOW,99000,75000,82000,112000,137000,175000,235000
RAYMOND ISLAND,360000,300000,416500,450000,535000,540000,505000
RED CLIFFS,211500,217500,270000,311000,325000,335000,400000
RED HILL,930000,860000,900000,1550000,1960000,1507500,NA
REDAN,330000,357000,900000,455000,515000,485000,425500
RESEARCH,915000,937500,1178000,1201000,1520000,1030000,1032500
RESERVOIR,790000,754000,795000,945000,940000,870000,886500
RHYLL,657500,565000,579000,757500,911000,752500,899000
RICHMOND,1311000,1260000,1365000,1490000,1400000,1377500,1347500
RIDDELLS CREEK,675000,710000,680000,870000,872500,865000,794000
RINGWOOD,896500,801000,900000,1018000,1038000,999500,1135000
RINGWOOD EAST,881000,809000,861000,1050000,975000,1000000,1105000
RINGWOOD NORTH,920000,870000,957500,1183000,1200000,1217500,1302500
RIPPLESIDE,750000,825000,862000,1100000,1205000,1050000,NA
RIPPONLEA,1564000,1350000,2001000,1892500,1560000,1457500,NA
ROBINVALE,220000,231500,235000,340000,315000,355000,315000
ROCHESTER,236000,255000,237000,350000,440000,262500,397500
ROCKBANK,500000,497000,465000,565000,620000,624500,583500
ROMSEY,550000,580500,630000,780000,839000,755000,724000
ROSANNA,1100000,1032500,1121500,1382500,1216000,1298000,1041000
ROSEBUD,590000,550000,595000,780000,820500,747500,710000
ROSEBUD SOUTH,711500,697000,675000,951000,1090000,1063500,962500
ROSEDALE,280000,247000,250000,365000,420000,475000,537500
ROWVILLE,838000,815500,838000,1000000,1080000,1090000,1120000
ROXBURGH PARK,546000,543000,572500,615000,652000,632500,650000
RUSHWORTH,198000,205000,226000,301000,352500,367000,453000
RUTHERGLEN,270000,282500,350000,402500,486500,479000,475000
RYE,705000,690000,793500,1100000,1195000,1098500,1097000
SAFETY BEACH,825000,810000,897500,1109000,1241000,1220500,1040000
SAILORS GULLY,290000,280000,300000,390000,505500,469000,440000
SALE,309500,325000,345000,399000,487000,480000,470000
SAN REMO,515000,554500,597500,850000,1020000,952500,940000
SANCTUARY LAKES,625000,625000,652000,710000,750000,733500,748000
SANDHURST,837500,812500,780000,950000,1009000,1075000,1067000
SANDRINGHAM,1850000,1665000,1850000,2420000,2400000,2100000,1920000
SANDY POINT,410000,410000,517500,755000,820000,815000,510000
SASSAFRAS,750000,805000,770000,860000,1020000,959000,NA
SCORESBY,835000,766500,785000,951500,975500,955500,1005000
SEA LAKE,110000,100000,106500,125000,173000,187500,160000
SEABROOK,672500,626500,652500,730000,755000,741500,790000
SEAFORD,696000,655000,700000,850000,880000,830000,837500
SEAHOLME,1015000,1020000,937500,1209500,1135000,1525000,NA
SEASPRAY,210000,265000,260000,335000,390000,465000,378000
SEBASTOPOL,289000,315000,341000,420000,480000,455000,430000
SEDDON,1018500,960000,1100000,1244000,1055000,1100000,965000
SELBY,637500,601500,720000,904500,771500,837500,870000
SEVILLE,634500,630000,626000,775000,812500,870000,868000
SEVILLE EAST,551500,580000,600000,720000,700000,755000,649000
SEYMOUR,295000,300000,325000,390000,447500,467500,440000
SHEPPARTON,275000,282000,310000,370000,430000,445000,480000
SHEPPARTON NORTH,334000,393000,379000,425000,612000,610000,854500
SHOREHAM,1160000,1400000,1077000,1767500,2180000,2100000,NA
SILVERLEAVES,721000,618500,775000,982000,990500,1137500,805000
SKIPTON,159500,200000,219500,270000,360000,336000,319500
SKYE,611000,597500,610000,740000,770000,760000,753500
SMITHS BEACH,589000,624500,695000,837000,990000,957500,780000
SMYTHES CREEK,426500,430000,440500,545000,590000,550000,492500
SOLDIERS HILL,447500,480000,557500,568000,705000,570000,570000
SOMERS,888500,950000,980000,1707000,1765000,1550000,1132500
SOMERVILLE,615000,600000,640000,780000,812000,765000,750000
SORRENTO,1380000,1470000,1665000,2207500,2355000,2120000,2700000
SOUTH GEELONG,676000,702500,835000,1000000,970000,882000,NA
SOUTH KINGSVILLE,1000000,859000,992000,1100000,972500,1250000,1027500
SOUTH MELBOURNE,1465000,1355000,1580000,1710000,1882500,1630000,1500000
SOUTH MORANG,634500,625500,623000,718000,760000,725000,760000
SOUTH YARRA,1851000,1850000,2059000,2353000,2035500,2390000,1480000
SPOTSWOOD,1080000,950000,985000,1260000,1255000,1130000,1082500
SPRING GULLY,400000,386500,440000,552500,610000,700000,570000
SPRINGVALE,780000,746500,785000,855000,886000,870000,790000
SPRINGVALE SOUTH,720000,679000,725000,800000,820000,800000,830000
ST ALBANS,626500,594000,600000,675000,682000,640500,630000
ST ALBANS PARK,450000,422000,455000,600000,650000,586500,505000
ST ANDREWS BEACH,902500,930000,1207500,1745500,1582500,1572500,3500000
ST ARNAUD,145000,175000,170000,225000,310000,279500,200000
ST HELENA,910000,905000,930000,1137500,1202500,1175000,1200000
ST KILDA,1755000,1600000,1330000,1705500,1710000,1480500,1090000
ST KILDA EAST,1620000,1560500,1650000,1840000,1785000,1623000,2095000
ST KILDA WEST,1942500,2465000,2630000,3300000,2742500,2855000,1830000
ST LEONARDS                             ,571500,562500,572000,705000,805000,754000,700000
STANHOPE,161500,187500,201500,255000,223500,352500,NA
STAWELL,190000,189000,227000,290000,355000,319000,315000
STRATFORD,258000,316500,320000,397500,472000,480000,420000
STRATHDALE,420000,451000,507000,640000,671500,637500,540000
STRATHFIELDSAYE,444000,476500,535000,636000,702500,715000,712500
STRATHMERTON,187500,195000,205000,265000,325000,365000,367500
STRATHMORE,1357500,1320000,1360000,1576000,1605000,1416500,1264500
STRATHMORE HEIGHTS,885000,800000,835000,962500,952500,1056000,1147500
STRATHTULLOH,425000,507500,522500,585500,609000,642500,621000
STUDFIELD,906000,811000,836000,1025000,950000,1095000,836500
SUNBURY,546000,533500,570000,645000,670000,660000,640000
SUNDERLAND BAY,455000,413500,525000,717000,677500,672500,492500
SUNNYCLIFFS,218000,229500,230000,326500,295000,380000,288500
SUNSET STRIP,390000,460000,511000,602500,754000,690000,770000
SUNSHINE,742000,720000,750000,870000,856500,797500,700000
SUNSHINE NORTH,673500,647000,690000,720000,750000,721500,700000
SUNSHINE WEST,635000,635000,657000,745000,751500,700000,670000
SURF BEACH,480000,525000,559000,706500,895000,805000,692500
SURREY HILLS,1900000,1890000,1880000,2310000,2301500,2390000,2385500
SWAN HILL,267000,285000,319500,362000,405000,435000,522500
SYDENHAM,620000,595000,635000,690000,699000,741500,745000
SYNDAL,1540500,1499000,1570000,1800000,1867500,1955000,1775000
TALLANGATTA,245000,257500,280000,350000,436000,470000,374500
TANGAMBALANGA,292000,282500,459000,502500,593000,557500,915000
TARNEIT,570000,550000,570000,602000,650000,653500,650000
TATURA,250000,276500,303500,357500,450000,475000,455000
TAWONGA SOUTH,310000,422500,380000,545000,641000,553000,599000
TAYLORS HILL,723000,702000,754000,840000,908000,906500,930000
TAYLORS LAKES,763500,750000,777500,883500,936000,925000,1000000
TECOMA,700000,662500,742500,920000,837500,838000,822500
TEMPLESTOWE,1308000,1292500,1381500,1603000,1621500,1685000,1565000
TEMPLESTOWE LOWER,1150000,1080000,1189000,1432500,1390000,1410000,1374000
TERANG,194000,188500,232500,309000,365000,382500,237500
THE BASIN,682500,695000,739000,875000,864000,850000,853500
THE PATCH,730000,755000,760000,882500,872000,830000,872000
THOMASTOWN,636000,592000,620000,720000,710000,691000,700000
THOMSON (GREATER,411000,400500,435000,580000,575000,547500,597500
THORNBURY,1137500,1150000,1252500,1500000,1455000,1382000,1301000
THORNHILL PARK,578000,535000,540000,550000,600000,610000,602500
TIMBOON,247000,260000,412500,425000,440000,476500,600000
TONGALA,275000,234500,236500,305000,377000,405500,NA
TOONGABBIE,280500,270000,320000,445000,525000,569000,NA
TOORA,241500,275000,300000,430000,430000,450000,NA
TOORADIN,702000,700000,755000,800000,910000,880000,910000
TOORAK,4700000,4600000,5500000,6340000,6205000,5325000,4125000
TOOTGAROOK,600500,586000,671000,874000,950000,885000,825000
TORQUAY,810000,815000,870000,1200000,1350000,1255000,1180000
TRAFALGAR,375000,396500,435000,485000,590000,560000,595000
TRARALGON,298000,326500,340000,408000,484000,500000,532500
TRARALGON EAST,425000,470000,501500,640000,722000,785000,NA
TRENTHAM,603000,614000,632500,825000,1050000,930000,890000
TRUGANINA,570000,575000,580000,615000,652000,647000,640000
TULLAMARINE,665500,612000,640000,755000,760000,720000,700000
TYABB,548000,586500,590000,736000,745500,730000,NA
UPPER FERNTREE GULLY,700000,642500,735000,865000,885000,852000,765000
UPWEY,710000,702500,760500,899000,890000,880000,887000
VENTNOR,490000,540000,619500,770000,867500,800000,925000
VENUS BAY,305000,330000,375000,579500,672500,613500,625000
VERMONT,980000,935500,1000000,1226500,1200000,1235000,1310000
VERMONT SOUTH,1150000,1165000,1200000,1420000,1418000,1533000,1280000
VIEWBANK,933000,920000,985000,1238000,1220000,1195000,1180500
VIOLET TOWN,242500,287500,328500,381500,385000,499500,555000
WAHGUNYAH,240000,355000,320000,379000,517500,375000,520000
WALLAN,490000,480000,520000,580000,625000,620000,585000
WALLAN EAST,500000,457000,490000,575000,610000,600000,590000
WANDANA HEIGHTS,700000,766500,827000,925000,1135000,1015000,795000
WANDIN NORTH,665000,630000,715000,765000,805000,773000,916500
WANDONG,494000,452500,640000,700000,719000,762500,700000
WANGARATTA,320000,319000,356500,425000,530000,525000,519000
WANTIRNA,906500,850000,907000,1065000,1105000,1150000,1014000
WANTIRNA SOUTH,1000000,988500,1015000,1223500,1225000,1322000,1290000
WARBURTON,495000,512500,543000,675000,733500,695000,505000
WARRACKNABEAL,112500,118000,141000,180000,228500,240000,247000
WARRAGUL,449000,460000,498000,580000,653500,646000,630000
WARRANDYTE,1110000,994000,996000,1285000,1300000,1262000,1655000
WARRANWOOD,1010000,935000,962000,1145000,1350000,1197500,1173000
WARRNAMBOOL,350000,370000,415000,520000,602000,605000,547500
WATERWAYS,1110000,1285000,1408000,1445000,1600000,1690000,NA
WATSONIA,795000,736000,790000,980000,908500,875500,1095000
WATSONIA NORTH,770000,726500,795000,962500,897500,930000,895000
WATTLE GLEN,810000,778500,810000,924000,950000,890000,NA
WAURN PONDS,621500,641500,671000,727500,801500,826500,800000
WEDDERBURN,130000,138500,150000,179000,310000,300000,200000
WEIR VIEWS,470000,465000,495500,525500,575000,560000,570000
WENDOUREE,326000,335000,370000,465000,495000,470000,417500
WENDOUREE WEST,245000,259000,300000,380000,390000,365000,325000
WERRIBEE,510000,500000,515500,570000,612000,610000,586500
WERRIBEE SOUTH,735000,744500,650000,822500,880000,930000,805000
WESBURN,463500,530000,532000,665000,661000,642500,630000
WEST FOOTSCRAY,875000,785000,835000,1051500,960500,915000,755000
WEST MELBOURNE,1370000,1017500,1215000,1280000,1387500,1215000,1660000
WEST WODONGA,322000,342500,370000,428000,515000,545000,530000
WESTALL,800000,748000,739000,855000,897500,858000,921000
WESTGARTH,1707500,1485000,1566000,2087500,1912500,1910000,1467500
WESTMEADOWS,620000,620000,605000,716000,700000,727500,730000
WHEELERS HILL,1118500,1010000,1173500,1371000,1450000,1509000,1584500
WHITE HILLS,313500,330000,355000,470000,510000,495000,537500
WHITTINGTON,395000,377500,408000,485000,532500,500000,555000
WHITTLESEA,577500,581000,610000,675000,740000,760000,667500
WILLIAMS LANDING,685000,657000,680000,760000,795000,799500,835000
WILLIAMSTOWN,1415000,1350000,1402500,1592500,1650500,1580000,1782500
WILLIAMSTOWN NORTH,880000,965000,905000,1250000,1021500,1275000,972500
WILLOW GROVE,280000,388000,427500,427500,452500,600000,500000
WIMBLEDON HEIGHTS,410000,386500,435000,592000,670000,620000,490000
WINCHELSEA,391000,430000,480000,552500,640000,642500,700000
WINDSOR,1422500,1350000,1350000,1645000,1650000,1460000,1455000
WINTER VALLEY,405000,435000,470000,573500,617500,580000,575000
WODONGA,350000,331500,348000,439500,520000,545000,485000
WOLLERT,538000,570000,573000,625000,703500,705000,680000
WONGA PARK,1150000,1102000,1077500,1248000,1415000,1265000,920000
WONTHAGGI,339000,375000,405000,550000,602000,555000,513000
WOODEND,665000,747500,765000,895000,870000,965000,840000
WOOLAMAI WATERS,469500,495500,560000,762500,874500,779000,710000
WOORI YALLOCK,520000,510000,552000,635000,670000,652000,560000
WY YUNG,315000,349000,370000,453000,492500,547500,518500
WYCHEPROOF,124500,141500,131000,170000,185000,203500,250000
WYNDHAM VALE,474000,460500,480000,525000,580000,580000,590000
YACKANDANDAH,472500,497500,490000,669000,653000,760000,580000
YALLAMBIE,810000,792500,832500,990000,1023000,942000,852500
YALLOURN NORTH,172000,191000,206000,263000,325000,319500,319500
YARRA GLEN,670000,670000,732500,850500,800000,784500,675000
YARRA JUNCTION,562500,582500,595000,687000,710000,705000,NA
YARRAGON,390000,410000,414000,582500,595000,645000,613500
YARRAM,218000,240000,260000,360000,470000,395000,425000
YARRAVILLE,1045000,971000,1030000,1185000,1210000,1100000,1112500
YARRAWONGA,345000,375000,456500,564500,670000,640000,637500
YEA,390000,435500,422500,570000,617500,550000,496000
YINNAR,245000,255000,292500,465000,550500,567500,NA
