,2018,2019,2020,2021,2022,2023,2024
BRIGHTON EAST,1880000,1700000,1950000,2265000,2316500,2425000,2100000
BROADFORD,396500,415000,454000,505000,570000,550000,430000
BROADMEADOWS,575000,525500,551500,590000,600000,560000,530000
BROOKFIELD,491500,445000,500000,539000,570000,560000,558500
BROOKLYN,695000,672500,712500,850000,810000,740000,NA
BROWN HILL,405000,449000,487500,600000,601000,740000,675000
BRUNSWICK,1100000,1037500,1100000,1350000,1330000,1300000,1435000
BRUNSWICK EAST,1170000,1011500,1286500,1440000,1350000,1400000,1530000
BRUNSWICK WEST,1160000,1061000,1180000,1324000,1285500,1275000,1300000
BRUTHEN,261000,229000,345000,285000,455000,470000,529000
BULLEEN,1230000,1105000,1177000,1355000,1386000,1398000,1305000
BUNDALONG,462000,515000,725000,674500,2519000,968000,665000
BUNDOORA,730000,735000,745000,865000,853000,858500,850000
BUNINYONG,467500,475000,587500,666000,770000,680000,542500
BUNYIP,550000,500500,541500,652500,750000,730000,705000
BURNLEY,1277500,1188500,1497500,1595000,1565000,1582500,1831000
BURNSIDE,605000,605000,660000,720000,780000,752500,777500
BURNSIDE HEIGHTS,633000,591000,652500,701000,749000,745000,758000
BURWOOD,1320000,1170000,1277500,1430000,1381000,1497500,1344500
BURWOOD EAST,1005000,1106000,1168500,1250500,1259000,1280000,1180000
CAIRNLEA,734000,752500,807500,850000,941500,936500,942500
CALIFORNIA GULLY,275000,287000,318000,415000,463000,461000,449500
CAMBERWELL,2155000,2070000,2072500,2569000,2650000,2538000,2761500
CAMPBELLFIELD,550000,533000,537500,602500,605000,605000,637000
CAMPBELLS CREEK,460500,500000,522500,652500,710000,722500,NA
CAMPERDOWN,235000,280000,292500,362500,415000,470000,420000
CANADIAN,373000,375000,422500,490000,580000,535000,450000
CANTERBURY,2533000,2902500,2705000,3389000,3460000,3252500,NA
CAPE PATERSON,442000,540000,635500,782500,880000,804500,807500
CAPE SCHANCK,845000,940000,1095500,1350000,2250000,1524000,1657500
CAPEL SOUND,550000,520000,582500,775000,815000,740000,682000
CARDIGAN,622500,863500,727500,1090000,1150000,1045000,NA
CARLTON,1625000,1308000,1452500,1492500,1512500,1485000,1006000
CARLTON NORTH,1445000,1555000,1500000,1712000,1660000,1480000,1470000
CARNEGIE,1445000,1313500,1420000,1776000,1685000,1675000,1835000
CAROLINE SPRINGS,620000,620000,650000,720000,750000,730500,730000
CARRUM,860000,770000,830500,967000,965000,1030000,NA
CARRUM DOWNS,575000,537000,575000,665000,705000,695000,717500
CASTERTON,132500,150000,161500,200000,300000,290000,195000
CASTLEMAINE,499000,520000,556500,680500,725000,725000,690000
CAULFIELD,1701000,1762500,1818500,2060000,2079000,1786000,1292000
CAULFIELD NORTH,1960000,2112000,2360000,2697500,2650000,2620000,2600000
CAULFIELD SOUTH,1600000,1494500,1750000,1950000,1845000,1945000,1685000
CHADSTONE,1050000,958000,1095000,1255000,1172500,1290000,1280000
CHARLEMONT,455000,465000,530000,628000,650000,610000,609000
CHARLTON,150000,147000,149500,195000,300000,320000,275000
CHELSEA,905000,856500,980000,1167500,1142500,1200000,1465000
CHELSEA HEIGHTS,778000,750000,805000,977500,935000,906500,890000
CHELTENHAM,1105000,1035000,1130000,1306000,1350000,1342000,1320000
CHELTENHAM EAST,940000,940000,1010500,1190000,1157500,1150000,1205000
CHELTENHAM NORTH,925000,913000,921500,1015000,1050000,1050000,1090000
CHILTERN,260000,223500,321000,330000,395000,390000,NA
CHIRNSIDE PARK,700000,680500,750000,900000,925000,900000,875000
CHURCHILL,180000,185000,226000,305000,360000,345000,345000
CLARINDA,802500,820000,851500,1024500,1060000,950000,1075000
CLAYTON,1255000,1158000,1055000,1200000,1123000,1165000,1020000
CLAYTON NORTH,1330000,1377500,1330000,1300000,1345000,1306000,1235000
CLAYTON SOUTH,850000,832000,830000,982500,975000,947500,895000
CLIFTON HILL,1364500,1348000,1375000,1750000,1710000,1725000,1200000
CLIFTON SPRINGS,472000,485000,518500,666000,710000,670000,745000
CLUNES,354000,320000,357500,450000,500000,510000,420000
CLYDE,505000,542500,572000,613000,682500,675500,666500
CLYDE NORTH,595000,570000,605000,660000,730500,720000,725000
COBBLEBANK,460000,480000,510000,565000,645000,642500,605000
COBDEN,225000,237000,272000,349000,386000,395000,351000
COBRAM,255000,272500,300000,370000,414000,437500,389000
COBURG,966500,935500,1085000,1257500,1216500,1180000,1085000
COBURG EAST,841500,825000,981000,1102000,1072500,1130000,883000
COBURG NORTH,814000,805000,899000,1008500,1020000,980000,937000
COCKATOO,591000,580000,610000,730500,770000,760000,792500
COHUNA,177500,204000,232500,260000,285000,325000,375000
COLAC,320000,315000,350000,420000,500000,480000,435000
COLDSTREAM,660000,635000,648000,767000,780000,805000,826500
COLERAINE,114000,144000,127000,174000,282000,207500,174500
COLLINGWOOD,1110000,1060000,1155000,1251500,1302000,1225000,1230000
CONNEWARRE,1200000,1345000,1647500,1625000,2570000,1896500,1800000
COOLAROO,480000,441000,477000,500000,530000,530500,527500
COONANS HILL,927000,902500,1055000,1213000,1207500,1205000,NA
COONGULLA,242000,335000,285000,280000,377500,457500,NA
CORINELLA,450000,357500,510000,670000,777500,695000,600000
CORIO,370000,351500,390000,457000,520000,480000,475000
CORONET BAY,345000,370000,407500,522500,635000,580000,595000
CORRYONG,162500,236000,226500,240000,310000,320000,285000
COWES,541000,557500,589500,880000,875000,800000,725000
COWES WEST,485500,508500,545000,705000,820000,779000,765000
CRAIGIEBURN,546500,525000,560000,616000,660000,650000,656000
CRANBOURNE,540000,500000,510000,618000,660000,655000,639000
CRANBOURNE EAST,574500,567000,590000,670000,720000,707500,720000
CRANBOURNE NORTH,600000,570000,587500,653500,720000,710000,732500
CRANBOURNE SOUTH,425000,632500,634000,710000,795000,721000,660000
CRANBOURNE WEST,540000,508000,510000,600000,680000,657500,637500
CREMORNE,1420000,1290000,1410000,1500000,1315000,1335000,NA
